Precon,ID,atan.XY,degree.XY
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a2,-1.11,-63.43
f2,b1c9a2,-0.90,-51.34
f2,b1c9a2,-0.79,-45.00
f2,b1c9a2,-0.46,-26.57
f2,b1c9a2,0.00,0.00
f2,b1c9a2,0.00,0.00
f2,b1c9a2,0.00,0.00
f2,b1c9a2,0.00,0.00
f2,b1c9a2,0.00,0.00
f2,b1c9a2,0.08,4.40
f2,b1c9a2,0.08,4.76
f2,b1c9a2,0.24,14.04
f2,b1c9a2,0.32,18.44
f2,b1c9a2,0.42,23.96
f2,b1c9a2,0.46,26.57
f2,b1c9a2,0.46,26.57
f2,b1c9a2,0.79,45.00
f2,b1c9a2,1.11,63.43
f2,b1c9a2,n/a,n/a
f2,b1c9a2,n/a,n/a
f2,b1c9a2,n/a,n/a
f2,b1c9a2,n/a,n/a
f2,b1c9a2,n/a,n/a
f2,b1c9a2,n/a,n/a
f2,b1c9a2,n/a,n/a
f2,b1c9a2,n/a,n/a
f2,b1c9a2,n/a,n/a
f2,b1c9a2,n/a,n/a
f2,b1c9a2,n/a,n/a
f2,b1c9a2,n/a,n/a
f2,b1c9a2,n/a,n/a
f2,b1c9a2,n/a,n/a
f2,b2c1a1,-0.79,-45.01
f2,b2c1a1,-0.75,-43.15
f2,b2c1a1,-0.59,-33.69
f2,b2c1a1,-0.46,-26.57
f2,b2c1a1,-0.30,-17.35
f2,b2c1a1,-0.28,-15.95
f2,b2c1a1,-0.25,-14.04
f2,b2c1a1,-0.24,-14.04
f2,b2c1a1,-0.17,-9.46
f2,b2c1a1,0.00,0.00
f2,b2c1a1,0.00,0.00
f2,b2c1a1,0.10,5.71
f2,b2c1a1,0.40,22.83
f2,b2c1a1,0.46,26.56
f2,b2c1a1,0.46,26.56
f2,b2c1a1,0.79,45.00
f2,b2c1a1,0.79,45.00
f2,b2c1a1,0.79,45.01
f2,b2c1a1,n/a,n/a
f2,b2c1a1,n/a,n/a
f2,b2c1a1,n/a,n/a
f2,b2c1a1,n/a,n/a
f2,b2c1a1,n/a,n/a
f2,b2c1a1,n/a,n/a
f2,b2c1a1,n/a,n/a
f2,b2c1a1,n/a,n/a
f2,b2c1a1,n/a,n/a
f2,b2c1a1,n/a,n/a
f2,b2c1a1,n/a,n/a
f2,b2c1a1,n/a,n/a
f2,b2c1a2,-1.37,-78.69
f2,b2c1a2,-1.37,-78.68
f2,b2c1a2,-1.33,-76.00
f2,b2c1a2,-1.11,-63.51
f2,b2c1a2,-1.11,-63.43
f2,b2c1a2,-1.08,-61.70
f2,b2c1a2,-0.98,-56.32
f2,b2c1a2,-0.84,-48.37
f2,b2c1a2,-0.79,-45.00
f2,b2c1a2,-0.79,-45.00
f2,b2c1a2,-0.78,-44.95
f2,b2c1a2,-0.46,-26.56
f2,b2c1a2,-0.32,-18.45
f2,b2c1a2,0.00,0.00
f2,b2c1a2,0.00,0.00
f2,b2c1a2,0.00,0.00
f2,b2c1a2,0.00,0.00
f2,b2c1a2,0.14,8.11
f2,b2c1a2,0.46,26.53
f2,b2c1a2,0.46,26.60
f2,b2c1a2,0.59,33.68
f2,b2c1a2,0.68,39.09
f2,b2c1a2,0.79,45.00
f2,b2c1a2,1.01,58.00
f2,b2c1a2,1.45,82.87
f2,b2c1a2,n/a,n/a
f2,b2c1a2,n/a,n/a
f2,b2c1a2,n/a,n/a
f2,b2c1a2,n/a,n/a
f2,b2c1a2,n/a,n/a
f2,b2c2a1,-1.11,-63.44
f2,b2c2a1,-0.79,-45.00
f2,b2c2a1,-0.67,-38.66
f2,b2c2a1,-0.59,-33.69
f2,b2c2a1,-0.46,-26.57
f2,b2c2a1,-0.46,-26.57
f2,b2c2a1,-0.36,-20.56
f2,b2c2a1,-0.32,-18.43
f2,b2c2a1,-0.28,-15.95
f2,b2c2a1,-0.25,-14.04
f2,b2c2a1,-0.12,-7.12
f2,b2c2a1,0.00,0.00
f2,b2c2a1,0.20,11.31
f2,b2c2a1,0.26,14.93
f2,b2c2a1,0.51,29.05
f2,b2c2a1,0.79,45.00
f2,b2c2a1,0.79,45.00
f2,b2c2a1,0.79,45.00
f2,b2c2a1,1.11,63.44
f2,b2c2a1,n/a,n/a
f2,b2c2a1,n/a,n/a
f2,b2c2a1,n/a,n/a
f2,b2c2a1,n/a,n/a
f2,b2c2a1,n/a,n/a
f2,b2c3a1,-1.11,-63.43
f2,b2c3a1,-0.79,-45.00
f2,b2c3a1,-0.46,-26.57
f2,b2c3a1,-0.46,-26.57
f2,b2c3a1,-0.46,-26.57
f2,b2c3a1,-0.46,-26.57
f2,b2c3a1,-0.27,-15.64
